
--------------------------------------------------
Circuit Details:
--------------------------------------------------
No. of Primary Inputs: 59
No. of Primary Outputs: 35
No. of Gates: 4454
No. of DFFs: 516
No. of Nodes: 10434
Execution Time: 1003800408 ns
Primary Inputs: test_si g6283 g6253 g6285 g6265 g6281 g6284 g6282 test_se g6256 g4202 g4214 g4203 g4215 g881 g4195 g4204 g4216 g4205 g4191 g4196 g4206 g4209 g4207 g4193 g4210 g4198 g4194 g4211 g4199 g4212 g4213 g4201 g877 g4192 g6259 g6263 g4208 g4197 g1700 g741 g744 g6258 g1696 g750 g6264 g4200 g109 g6260 g23 g742 CK g743 g6261 g6257 g6262 g2355 g6255 g6254
Outputs: g8984 g3327 g10377 g10455 g10457 g10463 g10465 g10801 g11206 g10459 g11163 g6842 g10379 g5659 g5658 g8313 g8316 g8318 g8323 g8328 g8331 g8335 g8340 g8349 g8352 g8561 g8562 g8563 g8564 g8565 g8566 g8271 g8347 g10461 g9961


----------------------------------------
Signal	CC0	CC1	SC0	SC1
n3191	8	26	1	2
n2526	8	26	1	2
n3190	8	22	1	4
n2649	8	22	1	4
n3189	8	17	1	3
n2816	8	17	1	3
n3188	8	12	1	2
n2656	8	12	1	2
g2604	7	7	1	1
n3187	8	39	1	4
n2747	8	39	1	4
n3186	8	34	1	3
n2671	8	34	1	3
n3185	8	29	1	2
n2761	8	29	1	2
g4174	8	45	1	6
n2051	8	45	1	6
n3184	8	40	1	5
n2676	8	40	1	5
n3183	8	35	1	4
n2659	8	35	1	4
n3182	8	35	1	3
n2717	8	35	1	3
n2515	8	33	1	5
n3181	8	28	1	5
n2568	8	28	1	5
n3180	8	23	1	4
n2052	8	23	1	4
n3179	8	18	1	3
n1995	8	18	1	3
n3178	8	13	1	2
n2014	8	13	1	2
g875	8	8	1	1
g5643	8	22	1	3
n3177	8	17	1	2
n2554	8	17	1	2
n3176	8	39	1	5
n2039	8	39	1	5
n3175	8	34	1	4
n2687	8	34	1	4
g4186	8	29	1	3
n2050	8	29	1	3
n3174	8	26	1	2
n2756	8	26	1	2
n3173	8	26	1	2
n2799	8	26	1	2
n3172	8	25	1	2
n2744	8	25	1	2
g4184	8	39	1	5
n1999	8	39	1	5
n3171	8	34	1	4
n2777	8	34	1	4
g4188	8	29	1	3
n2049	8	29	1	3
n3170	8	24	1	2
n2793	8	24	1	2
n3169	8	20	1	2
\DFF_385/net672	8	20	1	2
n3168	8	15	1	1
\DFF_384/net671	8	15	1	1
n3167	8	17	1	2
n2016	8	17	1	2
n3166	8	26	1	2
n1938	8	26	1	2
n3165	8	27	1	3
n1936	8	27	1	3
n3164	8	22	1	2
n2017	8	22	1	2
n3163	8	17	1	3
n2636	8	17	1	3
n3162	8	12	1	2
n2680	8	12	1	2
g2601	7	7	1	1
n3161	8	44	1	4
n2572	8	44	1	4
n3160	8	39	1	3
n2703	8	39	1	3
n3159	8	34	1	4
n2504	8	34	1	4
n3158	8	29	1	3
n2725	8	29	1	3
n3157	8	24	1	2
n2798	8	24	1	2
n3156	8	19	1	1
n2766	8	19	1	1
n3155	8	32	1	5
n1980	8	32	1	5
n3154	8	27	1	4
n2678	8	27	1	4
n3153	8	22	1	3
n2661	8	22	1	3
n3152	8	17	1	2
n1945	8	17	1	2
n3151	8	22	1	2
n2788	8	22	1	2
n3150	8	17	1	2
n2817	8	17	1	2
g8986	8	32	1	4
n2022	8	32	1	4
n3149	8	27	1	3
n1978	8	27	1	3
n3148	8	29	1	4
n2602	8	29	1	4
g2613	8	24	1	3
n3147	8	19	1	3
n2009	8	19	1	3
n3146	8	14	1	2
n1951	8	14	1	2
g874	8	9	1	1
g5646	8	32	1	4
n3145	8	27	1	4
n2616	8	27	1	4
n3144	8	22	1	3
n2010	8	22	1	3
n3143	8	17	1	2
n2013	8	17	1	2
n2627	8	31	1	3
n3142	8	26	1	2
n2808	8	26	1	2
g37	8	21	1	1
n3141	8	39	1	5
n2509	8	39	1	5
g4190	8	34	1	4
n2492	8	34	1	4
n3140	8	29	1	3
n2628	8	29	1	3
n3139	8	24	1	2
n2753	8	24	1	2
n3138	8	27	1	2
n2796	8	27	1	2
n3137	8	30	1	4
n2657	8	30	1	4
n3136	8	25	1	3
n2786	8	25	1	3
n3135	8	20	1	2
n2046	8	20	1	2
n3134	8	34	1	4
n2505	8	34	1	4
n3133	8	29	1	3
n2664	8	29	1	3
n3132	8	24	1	2
n1926	8	24	1	2
n3131	8	19	1	2
\DFF_336/net623	8	19	1	2
n3130	8	14	1	1
n2011	8	14	1	1
n3129	8	38	1	4
n2612	8	38	1	4
n3128	8	35	1	5
n1932	8	35	1	5
n3127	8	30	1	4
n1984	8	30	1	4
n3126	8	25	1	3
n1962	8	25	1	3
n3125	8	31	1	4
\DFF_330/net617	8	31	1	4
n3124	8	26	1	3
n2638	8	26	1	3
g3069	8	22	1	3
n2551	8	17	1	2
n3123	8	25	1	2
n2736	8	25	1	2
n3122	8	41	1	6
n2750	8	41	1	6
n3121	8	36	1	5
n1952	8	36	1	5
n3120	8	31	1	4
n2727	8	31	1	4
n3119	8	26	1	3
n2606	8	26	1	3
n3118	8	21	1	2
n2746	8	21	1	2
g1765	8	24	1	2
n3117	8	19	1	1
\DFF_319/net606	8	19	1	1
g2044	8	32	1	3
n3116	8	27	1	2
n2774	8	27	1	2
n3115	8	22	1	3
n1933	8	22	1	3
n3114	8	17	1	2
n2537	8	17	1	2
n3113	8	26	1	2
n2519	8	26	1	2
n3112	8	45	1	5
n2503	8	45	1	5
n3111	8	40	1	4
n2807	8	40	1	4
g2731	8	37	1	4
n3110	8	32	1	5
n1985	8	32	1	5
n3109	8	27	1	4
n2663	8	27	1	4
n3108	8	22	1	3
n2591	8	22	1	3
n3107	8	17	1	2
n2521	8	17	1	2
n3106	8	24	1	2
n2528	8	24	1	2
g2639	8	19	1	3
n2577	8	19	1	3
n3105	8	17	1	2
n1939	8	17	1	2
n3104	8	29	1	5
n1953	8	29	1	5
g4179	8	24	1	4
n2056	8	24	1	4
n3103	8	19	1	3
n2028	8	19	1	3
n3102	8	14	1	2
n2578	8	14	1	2
n3101	8	17	1	3
n1986	8	17	1	3
n3100	8	12	1	2
n1925	8	12	1	2
g1955	7	7	1	1
n3099	8	25	1	2
n2787	8	25	1	2
n3098	8	45	1	7
n2748	8	45	1	7
n3097	8	40	1	6
n2571	8	40	1	6
g2986	8	35	1	5
n3096	8	30	1	5
n2566	8	30	1	5
n2545	8	25	1	4
n3095	8	20	1	3
n2693	8	20	1	3
g8980	8	15	1	2
n2036	8	15	1	2
n3094	8	27	1	4
n1994	8	27	1	4
n3093	8	22	1	3
n2720	8	22	1	3
n3092	8	17	1	2
n1946	8	17	1	2
n3091	8	42	1	5
n2593	8	42	1	5
n3090	8	37	1	5
n2811	8	37	1	5
n3089	8	32	1	4
n2497	8	32	1	4
n3088	8	27	1	3
n2714	8	27	1	3
n3087	8	24	1	2
n2754	8	24	1	2
n3086	8	23	1	3
n1949	8	23	1	3
n3085	8	18	1	2
n2533	8	18	1	2
n3084	8	13	1	2
n2074	8	13	1	2
n3083	8	8	1	1
\DFF_275/net562	8	8	1	1
n3082	8	26	1	2
n2532	8	26	1	2
n3081	8	34	1	4
n2813	8	34	1	4
n3080	8	32	1	4
n2008	8	32	1	4
g5644	8	27	1	3
g2648	8	33	1	4
n3079	8	35	1	5
n2620	8	35	1	5
g8	8	30	1	4
n3078	8	33	1	5
n2580	8	33	1	5
n3077	8	28	1	4
n2669	8	28	1	4
n3076	8	45	1	4
n2073	8	45	1	4
n3075	8	44	1	5
n2579	8	44	1	5
g17	8	39	1	5
n3074	8	34	1	4
n1982	8	34	1	4
n3073	8	29	1	3
n2695	8	29	1	3
n3072	8	24	1	2
n2794	8	24	1	2
n3071	8	26	1	2
n2805	8	26	1	2
n3070	8	25	1	2
n2741	8	25	1	2
n3069	8	35	1	4
n1977	8	35	1	4
n3068	8	30	1	3
n2729	8	30	1	3
g4176	8	34	1	4
n2557	8	34	1	4
g1850	8	29	1	3
n3067	8	24	1	2
n2780	8	24	1	2
n3066	8	47	1	5
n2610	8	47	1	5
n3065	8	42	1	4
n2701	8	42	1	4
n3064	8	37	1	5
n2660	8	37	1	5
g4178	8	32	1	4
n2513	8	32	1	4
g5652	8	27	1	3
n3063	8	30	1	4
n2630	8	30	1	4
g5650	8	25	1	3
n3062	8	20	1	2
n2047	8	20	1	2
n3061	8	15	1	1
\DFF_242/net529	8	15	1	1
n3060	8	23	1	3
n2724	8	23	1	3
n2584	8	18	1	2
n3059	8	31	1	4
n2690	8	31	1	4
n3058	8	36	1	3
n2592	8	36	1	3
n3057	8	37	1	3
n2012	8	37	1	3
n3056	8	32	1	2
n2525	8	32	1	2
n3055	8	28	1	4
n2600	8	28	1	4
n3054	8	23	1	3
g8271	8	23	1	3
n2582	8	18	1	2
n3053	8	29	1	4
n2614	8	29	1	4
n3052	8	24	1	3
n2590	8	24	1	3
n3051	8	19	1	2
n2733	8	19	1	2
n3050	8	14	1	1
\DFF_228/net515	8	14	1	1
g4182	8	9	1	1
n2573	8	9	1	1
g1356	8	43	1	6
n3049	8	38	1	5
n2665	8	38	1	5
g8983	8	37	1	5
n2018	8	37	1	5
n3048	8	32	1	4
n1983	8	32	1	4
g5651	8	27	1	3
n3047	8	22	1	3
n2639	8	22	1	3
n3046	8	17	1	2
n2518	8	17	1	2
n3045	8	25	1	2
n2755	8	25	1	2
n3044	8	32	1	4
n2681	8	32	1	4
n3043	8	27	1	4
n2594	8	27	1	4
g1317	8	22	1	3
n3042	8	17	1	2
n1969	8	17	1	2
g8978	8	15	1	2
n2037	8	15	1	2
n3041	8	32	1	3
n1993	8	32	1	3
n3040	8	27	1	2
n2692	8	27	1	2
n3039	8	50	1	5
n2635	8	50	1	5
n3038	8	51	1	6
n2506	8	51	1	6
n3037	8	46	1	5
n2694	8	46	1	5
n3036	8	41	1	5
n2673	8	41	1	5
n3035	8	36	1	4
n2704	8	36	1	4
n3034	8	31	1	4
n2632	8	31	1	4
n3033	8	32	1	5
n2674	8	32	1	5
n3032	8	27	1	4
n2633	8	27	1	4
n3031	8	22	1	3
n2613	8	22	1	3
n3030	8	17	1	2
n2544	8	17	1	2
n3029	8	39	1	4
n2751	8	39	1	4
n3028	8	34	1	3
n2721	8	34	1	3
n3027	8	29	1	3
n2000	8	29	1	3
n3026	8	24	1	2
n2768	8	24	1	2
n3025	8	38	1	6
n2514	8	38	1	6
n3024	8	33	1	5
n2742	8	33	1	5
n3023	8	28	1	4
\DFF_194/net481	8	28	1	4
g5648	8	32	1	4
n3022	8	32	1	4
n2653	8	32	1	4
n2558	8	27	1	3
n3021	8	22	1	2
n1992	8	22	1	2
n2552	8	17	1	2
n3020	8	12	1	2
n2618	8	12	1	2
g2612	7	7	1	1
n3019	8	22	1	3
n2696	8	22	1	3
n3018	8	17	1	2
n1947	8	17	1	2
g4187	8	27	1	4
n2512	8	27	1	4
n3017	8	22	1	3
n2667	8	22	1	3
n2546	8	17	1	2
n3016	8	33	1	4
n2731	8	33	1	4
n3015	8	28	1	3
n2501	8	28	1	3
n3014	8	23	1	2
n2763	8	23	1	2
n3013	8	34	1	3
n1989	8	34	1	3
n3012	8	29	1	3
n2685	8	29	1	3
n3011	8	24	1	2
n2767	8	24	1	2
n3010	8	27	1	3
n2688	8	27	1	3
n3009	8	22	1	2
n2061	8	22	1	2
n3008	8	31	1	3
n2569	8	31	1	3
n3007	8	26	1	2
n2531	8	26	1	2
n3006	8	26	1	4
n2679	8	26	1	4
n3005	8	21	1	3
n2562	8	21	1	3
n3004	8	16	1	2
n2538	8	16	1	2
n2790	8	11	1	1
n3003	8	27	1	3
n2651	8	27	1	3
n3002	8	22	1	2
n2718	8	22	1	2
n3001	8	17	1	2
n1991	8	17	1	2
n3000	8	22	1	2
n2771	8	22	1	2
n2547	8	17	1	2
n2999	8	33	1	2
n2712	8	33	1	2
n2998	8	28	1	1
n2726	8	28	1	1
n2997	8	23	1	2
n2698	8	23	1	2
n2996	8	23	1	4
n1974	8	23	1	4
n2995	8	18	1	3
\DFF_157/net444	8	18	1	3
g2638	8	13	1	2
n2994	8	12	1	2
n2502	8	12	1	2
g2606	7	7	1	1
n2993	8	17	1	2
n2555	8	17	1	2
n2992	8	17	1	3
n1950	8	17	1	3
n2991	8	12	1	2
n2637	8	12	1	2
g2603	7	7	1	1
g4175	8	36	1	4
n2058	8	36	1	4
n2990	8	31	1	3
n2743	8	31	1	3
n2989	8	26	1	2
n1937	8	26	1	2
n2988	8	22	1	3
n2809	8	22	1	3
n2987	8	17	1	2
n1971	8	17	1	2
n2986	8	22	1	3
n2588	8	22	1	3
n2985	8	17	1	2
n2550	8	17	1	2
n2984	8	28	1	3
n2626	8	28	1	3
n2983	8	23	1	2
n2781	8	23	1	2
n2982	8	18	1	2
n2529	8	18	1	2
n2981	8	13	1	2
n2802	8	13	1	2
g1217	8	8	1	1
n2980	8	34	1	4
\DFF_136/net423	8	34	1	4
n2979	8	34	1	4
n1975	8	34	1	4
n2978	8	29	1	3
n2810	8	29	1	3
n2977	8	24	1	2
n2815	8	24	1	2
n2976	8	22	1	3
n2040	8	22	1	3
n2975	8	17	1	3
n2801	8	17	1	3
n2974	8	12	1	2
n2737	8	12	1	2
g2605	7	7	1	1
n2973	8	24	1	2
n2527	8	24	1	2
g4185	8	19	1	3
n2556	8	19	1	3
n2972	8	14	1	2
\DFF_126/net413	8	14	1	2
n2971	8	25	1	3
n1972	8	25	1	3
n2970	8	29	1	3
n2675	8	29	1	3
n2969	8	24	1	2
n2804	8	24	1	2
g16	8	29	1	3
n2968	8	24	1	2
\DFF_121/net408	8	24	1	2
n2967	8	19	1	1
n2792	8	19	1	1
n2966	8	22	1	3
n2601	8	22	1	3
n2965	8	17	1	2
n2586	8	17	1	2
g632	8	23	1	2
n2964	8	18	1	1
n2732	8	18	1	1
n2963	8	36	1	4
n2652	8	36	1	4
n2962	8	33	1	4
n2683	8	33	1	4
n2961	8	28	1	3
n1979	8	28	1	3
g4173	8	23	1	3
n2574	8	23	1	3
n2960	8	18	1	2
n2624	8	18	1	2
n2959	8	32	1	2
n2540	8	32	1	2
n2958	8	34	1	3
n2650	8	34	1	3
n2957	8	29	1	2
n2749	8	29	1	2
n2956	8	25	1	3
n2041	8	25	1	3
n2955	8	20	1	3
n2623	8	20	1	3
n2954	8	15	1	2
n2619	8	15	1	2
n2953	8	17	1	2
n2520	8	17	1	2
n2952	8	12	1	2
n2706	8	12	1	2
g2609	7	7	1	1
g4189	8	27	1	3
n2043	8	27	1	3
n2951	8	22	1	2
n2530	8	22	1	2
n2950	8	17	1	2
n2541	8	17	1	2
n2949	8	19	1	1
n2752	8	19	1	1
n2948	8	36	1	3
n2534	8	36	1	3
n2947	8	37	1	3
n2567	8	37	1	3
n2946	8	32	1	2
\DFF_93/net380	8	32	1	2
n2945	8	27	1	1
n2030	8	27	1	1
g8979	8	22	1	3
n2020	8	22	1	3
n2944	8	17	1	2
n2587	8	17	1	2
g745	8	22	1	3
n2943	8	17	1	2
n2549	8	17	1	2
n2942	8	35	1	5
n2647	8	35	1	5
n2941	8	30	1	4
n2493	8	30	1	4
n2940	8	25	1	3
n2508	8	25	1	3
n2939	8	20	1	2
n2007	8	20	1	2
n2938	8	29	1	4
n2563	8	29	1	4
n2937	8	24	1	3
n2739	8	24	1	3
g1957	8	19	1	3
n2936	8	28	1	4
n2596	8	28	1	4
n2935	8	23	1	3
n2734	8	23	1	3
n2934	8	18	1	2
n2576	8	18	1	2
n2933	8	17	1	2
n1963	8	17	1	2
n2932	8	45	1	5
n2025	8	45	1	5
n2931	8	40	1	4
n2709	8	40	1	4
n2930	8	38	1	5
n2702	8	38	1	5
n2929	8	33	1	4
n1981	8	33	1	4
g113	8	28	1	3
n2928	8	23	1	2
n2595	8	23	1	2
n2927	8	18	1	1
n2708	8	18	1	1
g1956	8	13	1	2
n2548	8	17	1	2
n2926	8	18	1	2
n2559	8	18	1	2
n2925	8	22	1	4
n2684	8	22	1	4
n2924	8	17	1	3
n2516	8	17	1	3
g8977	8	12	1	2
n2021	8	12	1	2
g2602	7	7	1	1
n2923	8	41	1	5
n2609	8	41	1	5
n2922	8	36	1	4
n2499	8	36	1	4
n2921	8	31	1	3
n2622	8	31	1	3
n2920	8	30	1	4
n2604	8	30	1	4
n2919	8	25	1	4
n2029	8	25	1	4
n2918	8	20	1	3
n2564	8	20	1	3
n2917	8	15	1	2
n2662	8	15	1	2
n2916	8	29	1	3
n2575	8	29	1	3
g3007	8	39	1	4
n2915	8	35	1	3
n2760	8	35	1	3
n2914	8	30	1	2
n2640	8	30	1	2
n2913	8	25	1	1
n2697	8	25	1	1
g8985	8	40	1	4
n2023	8	40	1	4
n2912	8	35	1	3
n2495	8	35	1	3
n2911	8	30	1	2
n2524	8	30	1	2
n2910	8	25	1	2
n2735	8	25	1	2
n2909	8	31	1	3
n2716	8	31	1	3
n2908	8	36	1	4
n1954	8	36	1	4
n2907	8	31	1	3
n1987	8	31	1	3
n2906	8	26	1	2
n2758	8	26	1	2
n2905	8	27	1	3
n2666	8	27	1	3
n2904	8	22	1	2
n2814	8	22	1	2
g4180	8	17	1	2
n2511	8	17	1	2
g757	8	12	1	1
n2903	8	26	1	2
n2522	8	26	1	2
n2902	8	26	1	2
n2543	8	26	1	2
n2901	8	25	1	3
n2002	8	25	1	3
n2900	8	33	1	4
n2607	8	33	1	4
n2899	8	28	1	4
n1976	8	28	1	4
g4177	8	23	1	3
n2057	8	23	1	3
n2898	8	18	1	2
n2775	8	18	1	2
n2897	8	37	1	6
n2048	8	37	1	6
n2896	8	32	1	5
n2570	8	32	1	5
n2895	8	27	1	4
n2710	8	27	1	4
g1737	8	22	1	3
n2894	8	17	1	2
n2539	8	17	1	2
n2645	8	23	1	2
n2893	8	18	1	1
n2812	8	18	1	1
g1736	8	34	1	4
n2892	8	29	1	3
n2738	8	29	1	3
n2891	8	36	1	4
n2672	8	36	1	4
n2625	8	31	1	3
n2890	8	26	1	2
n2770	8	26	1	2
n2889	8	35	1	5
n2565	8	35	1	5
n2888	8	30	1	4
n2496	8	30	1	4
n2887	8	25	1	3
n2044	8	25	1	3
n2886	8	20	1	2
n2045	8	20	1	2
n2885	8	36	1	4
n1930	8	36	1	4
n2884	8	31	1	3
n1958	8	31	1	3
n2883	8	26	1	2
n2759	8	26	1	2
n2882	8	22	1	3
n2791	8	22	1	3
n2881	8	17	1	2
n1988	8	17	1	2
n2880	8	30	1	4
n1955	8	30	1	4
n2879	8	25	1	3
n2001	8	25	1	3
n2878	8	26	1	5
n2789	8	26	1	5
n2877	8	21	1	4
n2677	8	21	1	4
n2876	8	16	1	3
n2668	8	16	1	3
n2875	8	11	1	2
n1935	8	11	1	2
n2874	8	6	1	1
n2617	8	6	1	1
troj63_0counter_0_	99999998	513	99999998	55
troj63_0counter_1_	99999998	99999998	99999998	99999998
Trojan_out0	99999998	99999998	99999998	99999998
\DFF_533/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_532/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_531/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_530/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_529/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_528/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_526/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_525/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_524/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_523/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_522/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_521/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_520/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_519/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_518/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_517/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_516/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_515/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_514/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_513/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_512/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_511/Q_reg-SDFF-s-bar	2	2	0	0
\DFF_510/Q_reg-SDFF-s-bar	2	2	0	0
