
----------------------------------------
Circuit Details:
----------------------------------------
No. of Primary Inputs: 32
No. of Primary Outputs: 32
No. of Gates: 2422
No. of Nodes: 4876
Execution Time: 15459000 ns
Primary Inputs: N256 N239 N222 N205 N188 N171 N154 N137 N120 N103 N86 N69 N52 N35 N18 N528 N511 N494 N477 N460 N443 N426 N409 N392 N375 N358 N341 N324 N307 N290 N273 N1
Outputs: N6260 N6250 N6240 N6200 N6170 N6150 N6123 N6270 N6230 N6160 N6180 N5308 N6280 N6220 N4591 N3211 N2877 N6210 N5672 N2548 N4241 N2223 N6190 N3895 N1901 N6288 N4946 N1581 N6287 N5971 N3552 N545


----------------------------------------
Signal	CC0	CC1	CO
N651	2	3	185
N699	2	3	275
N747	2	3	377
N795	2	3	491
N843	2	3	617
N891	2	3	740
N939	2	3	740
N987	2	3	731
N1035	2	3	632
N1083	2	3	492
N1131	2	3	364
N1179	2	3	270
N1227	2	3	122
N1275	2	3	118
N600	2	3	89
N648	2	3	155
N696	2	3	233
N744	2	3	323
N792	2	3	425
N840	2	3	539
N888	2	3	665
N936	2	3	742
N984	2	3	733
N1032	2	3	634
N1080	2	3	494
N1128	2	3	366
N1176	2	3	278
N1224	2	3	130
N1272	2	3	126
N597	2	3	68
N645	2	3	122
N693	2	3	188
N741	2	3	266
N789	2	3	356
N837	2	3	458
N885	2	3	572
N933	2	3	698
N981	2	3	732
N1029	2	3	633
N1077	2	3	493
N1125	2	3	365
N1173	2	3	277
N1221	2	3	138
N1269	2	3	131
N594	2	3	46
N642	2	3	88
N690	2	3	142
N738	2	3	208
N786	2	3	286
N834	2	3	376
N882	2	3	478
N930	2	3	592
N978	2	3	718
N1026	2	3	631
N1074	2	3	491
N1122	2	3	363
N1170	2	3	275
N1218	2	3	143
N1266	2	3	135
N591	2	3	17
N639	2	3	47
N687	2	3	89
N735	2	3	143
N783	2	3	209
N831	2	3	287
N879	2	3	377
N927	2	3	479
N975	2	3	593
N1023	2	3	719
N1071	2	3	626
N1119	2	3	486
N1167	2	3	358
N1215	2	3	270
N1263	2	3	138
N545	2	3	0
N546	2	3	16
N549	2	3	26
N552	2	3	35
N555	2	3	41
N558	2	3	47
N561	2	3	53
N564	2	3	59
N567	2	3	65
N570	2	3	71
N573	2	3	77
N576	2	3	83
N579	2	3	89
N582	2	3	95
N585	2	3	101
N588	2	3	107
N1311	3	4	16
N1315	3	4	46
N1319	3	4	88
N1323	3	4	142
N1327	3	4	208
N1331	3	4	286
N1335	3	4	376
N1339	3	4	478
N1343	3	4	592
N1347	3	4	718
N1351	3	4	625
N1355	3	4	485
N1359	3	4	357
N1363	3	4	269
N1367	3	4	137
N1371	4	6	15
N1372	4	5	15
N1373	4	6	45
N1374	4	5	45
N1375	4	6	87
N1376	4	5	87
N1377	4	6	141
N1378	4	5	141
N1379	4	6	207
N1380	4	5	207
N1381	4	6	285
N1382	4	5	285
N1383	4	6	375
N1384	4	5	375
N1385	4	6	477
N1386	4	5	477
N1387	4	6	591
N1388	4	5	591
N1389	4	6	717
N1390	4	5	717
N1391	4	6	632
N1392	4	5	632
N1393	4	6	492
N1394	4	5	492
N1395	4	6	364
N1396	4	5	364
N1397	4	6	276
N1398	4	5	276
N1399	4	6	144
N1400	4	5	144
N1401	6	9	10
N1404	6	9	40
N1407	6	9	82
N1410	6	9	136
N1413	6	9	202
N1416	6	9	280
N1419	6	9	370
N1422	6	9	472
N1425	6	9	586
N1428	6	9	712
N1431	6	9	627
N1434	6	9	487
N1437	6	9	359
N1440	6	9	271
N1443	6	9	139
N1446	4	9	12
N1450	4	9	42
N1454	4	9	84
N1458	4	9	138
N1462	4	9	204
N1466	4	9	282
N1470	4	9	372
N1474	4	9	474
N1478	4	9	588
N1482	4	9	714
N1486	4	9	624
N1490	4	9	484
N1494	4	9	356
N1498	4	9	268
N1502	4	9	136
N1506	10	11	5
N1507	4	7	11
N1508	5	8	36
N1511	10	11	35
N1512	4	7	41
N1513	5	8	78
N1516	10	11	77
N1517	4	7	83
N1518	5	8	132
N1521	10	11	131
N1522	4	7	137
N1523	5	8	198
N1526	10	11	197
N1527	4	7	203
N1528	5	8	276
N1531	10	11	275
N1532	4	7	281
N1533	5	8	366
N1536	10	11	365
N1537	4	7	371
N1538	5	8	468
N1541	10	11	467
N1542	4	7	473
N1543	5	8	582
N1546	10	11	581
N1547	4	7	587
N1548	5	8	708
N1551	10	11	707
N1552	4	7	713
N1553	5	8	719
N1556	10	11	721
N1557	4	7	727
N1558	5	8	620
N1561	10	11	622
N1562	4	7	628
N1563	5	8	480
N1566	10	11	482
N1567	4	7	488
N1568	5	8	352
N1571	10	11	354
N1572	4	7	360
N1573	5	8	264
N1576	10	11	266
N1577	4	7	272
N1578	5	8	132
N1581	8	15	0
N1582	8	15	30
N1585	8	15	72
N1588	8	15	126
N1591	8	15	192
N1594	8	15	270
N1597	8	15	360
N1600	8	15	462
N1603	8	15	576
N1606	8	15	702
N1609	8	15	716
N1612	8	15	617
N1615	8	15	477
N1618	8	15	349
N1621	8	15	261
N1624	4	8	129
N1628	9	14	29
N1632	9	14	71
N1636	9	14	125
N1640	9	14	191
N1644	9	14	269
N1648	9	14	359
N1652	9	14	461
N1656	9	14	575
N1660	9	14	701
N1664	9	14	710
N1668	9	14	611
N1672	9	14	471
N1676	9	14	343
N1680	9	14	255
N1684	4	7	142
N1685	9	10	137
N1686	15	18	20
N1687	9	15	26
N1688	15	18	62
N1689	9	15	68
N1690	15	18	116
N1691	9	15	122
N1692	15	18	182
N1693	9	15	188
N1694	15	18	260
N1695	9	15	266
N1696	15	18	350
N1697	9	15	356
N1698	15	18	452
N1699	9	15	458
N1700	15	18	566
N1701	9	15	572
N1702	15	18	692
N1703	9	15	698
N1704	15	18	728
N1705	9	15	734
N1706	15	18	629
N1707	9	15	635
N1708	15	18	489
N1709	9	15	495
N1710	15	18	361
N1711	9	15	367
N1712	15	18	273
N1713	9	15	279
N1714	8	14	132
N1717	16	25	10
N1720	16	25	52
N1723	16	25	106
N1726	16	25	172
N1729	16	25	250
N1732	16	25	340
N1735	16	25	442
N1738	16	25	556
N1741	16	25	682
N1744	16	25	718
N1747	16	25	619
N1750	16	25	479
N1753	16	25	351
N1756	16	25	263
N1759	4	11	129
N1763	4	19	22
N1767	4	19	64
N1771	4	19	118
N1775	4	19	184
N1779	4	19	262
N1783	4	19	352
N1787	4	19	454
N1791	4	19	568
N1795	4	19	694
N1799	4	19	715
N1803	4	19	616
N1807	4	19	476
N1811	4	19	348
N1815	4	19	260
N1819	12	13	262
N1820	4	7	270
N1821	9	9	124
N1824	20	21	5
N1825	4	7	21
N1826	15	14	44
N1829	20	21	47
N1830	4	7	63
N1831	15	14	98
N1834	20	21	101
N1835	4	7	117
N1836	15	14	164
N1839	20	21	167
N1840	4	7	183
N1841	15	14	242
N1844	20	21	245
N1845	4	7	261
N1846	15	14	332
N1849	20	21	335
N1850	4	7	351
N1851	15	14	434
N1854	20	21	437
N1855	4	7	453
N1856	15	14	548
N1859	20	21	551
N1860	4	7	567
N1861	15	14	674
N1864	20	21	677
N1865	4	7	693
N1866	15	14	714
N1869	20	21	726
N1870	4	7	742
N1871	15	14	705
N1874	20	21	717
N1875	4	7	733
N1876	15	14	606
N1879	20	21	618
N1880	4	7	634
N1881	15	14	466
N1884	20	21	478
N1885	4	7	494
N1886	15	14	338
N1889	20	21	350
N1890	4	7	366
N1891	15	14	250
N1894	8	17	257
N1897	4	12	121
N1901	8	25	0
N1902	8	25	42
N1905	8	25	96
N1908	8	25	162
N1911	8	25	240
N1914	8	25	330
N1917	8	25	432
N1920	8	25	546
N1923	8	25	672
N1926	8	25	721
N1929	8	25	712
troj40_0n2	47	11	871
N1932	8	25	613
N1935	8	25	473
N1938	8	25	345
N1941	15	24	241
N1945	4	7	135
N1946	10	14	129
N1947	15	24	35
N1951	15	24	89
N1955	15	24	155
N1959	15	24	233
N1963	15	24	323
N1967	15	24	425
N1971	15	24	539
N1975	15	24	665
N1979	15	24	705
N1983	15	24	696
N1987	15	24	597
N1991	15	24	457
N1995	15	24	329
N1999	18	24	271
N2000	15	31	274
N2001	8	15	124
N2004	25	24	26
N2005	15	31	36
N2006	25	24	80
N2007	15	31	90
N2008	25	24	146
N2009	15	31	156
N2010	25	24	224
N2011	15	31	234
N2012	25	24	314
N2013	15	31	324
N2014	25	24	416
N2015	15	31	426
N2016	25	24	530
N2017	15	31	540
N2018	25	24	656
N2019	15	31	666
N2020	25	24	735
N2021	15	31	745
N2022	25	24	726
N2023	15	31	736
N2024	25	24	627
N2025	15	31	637
N2026	25	24	487
N2027	15	31	497
N2028	25	24	359
N2029	15	31	369
N2030	25	34	255
N2033	4	11	121
N2037	25	41	10
N2040	25	41	64
N2043	25	41	130
N2046	25	41	208
N2049	25	41	298
N2052	25	41	400
N2055	25	41	514
N2058	25	41	640
N2061	25	41	719
N2064	25	41	710
N2067	25	41	611
N2070	25	41	471
N2073	25	41	343
N2076	4	28	252
N2080	12	13	258
N2081	4	7	266
N2082	12	9	116
N2085	4	28	31
N2089	4	28	85
N2093	4	28	151
N2097	4	28	229
N2101	4	28	319
N2105	4	28	421
N2109	4	28	535
N2113	4	28	661
N2117	4	28	716
N2121	4	28	707
N2125	4	28	608
N2129	4	28	468
N2133	4	28	340
N2137	29	30	346
N2138	4	7	371
N2139	25	20	236
N2142	8	17	253
N2145	4	15	113
N2149	29	30	5
N2150	4	7	30
N2151	25	20	50
N2154	29	30	59
N2155	4	7	84
N2156	25	20	116
N2159	29	30	125
N2160	4	7	150
N2161	25	20	194
N2164	29	30	203
N2165	4	7	228
N2166	25	20	284
N2169	29	30	293
N2170	4	7	318
N2171	25	20	386
N2174	29	30	395
N2175	4	7	420
N2176	25	20	500
N2179	29	30	509
N2180	4	7	534
N2181	25	20	626
N2184	29	30	635
N2185	4	7	660
N2186	25	20	700
N2189	29	30	722
N2190	4	7	747
N2191	25	20	700
N2194	29	30	722
N2195	4	7	747
N2196	25	20	691
N2199	29	30	713
N2200	4	7	738
N2201	25	20	592
N2204	29	30	614
N2205	4	7	639
N2206	25	20	452
N2209	29	30	474
N2210	4	7	499
N2211	25	20	324
N2214	8	34	341
N2217	18	34	227
N2221	4	7	127
N2222	10	17	121
N2223	8	34	0
N2224	8	34	54
N2227	8	34	120
N2230	8	34	198
N2233	8	34	288
N2236	8	34	390
N2239	8	34	504
N2242	8	34	630
N2245	8	34	717
N2248	8	34	717
N2251	8	34	708
N2254	8	34	609
N2257	8	34	469
N2260	21	34	315
N2264	18	27	266
N2265	21	44	263
N2266	8	15	116
N2269	21	34	41
N2273	21	34	107
N2277	21	34	185
N2281	21	34	275
N2285	21	34	377
N2289	21	34	491
N2293	21	34	617
N2297	21	34	691
N2301	21	34	691
N2305	21	34	682
N2309	21	34	583
N2313	21	34	443
N2317	35	30	357
N2318	21	47	371
N2319	28	40	244
N2322	4	11	113
N2326	35	30	32
N2327	21	47	46
N2328	35	30	98
N2329	21	47	112
N2330	35	30	176
N2331	21	47	190
N2332	35	30	266
N2333	21	47	280
N2334	35	30	368
N2335	21	47	382
N2336	35	30	482
N2337	21	47	496
N2338	35	30	608
N2339	21	47	622
N2340	35	30	733
N2341	21	47	747
N2342	35	30	733
N2343	21	47	747
N2344	35	30	724
N2345	21	47	738
N2346	35	30	625
N2347	21	47	639
N2348	35	30	485
N2349	21	47	499
N2350	31	57	335
N2353	4	31	241
N2357	12	13	251
N2358	4	7	259
N2359	12	9	108
N2362	31	57	10
N2365	31	57	76
N2368	31	57	154
N2371	31	57	244
N2374	31	57	346
N2377	31	57	460
N2380	31	57	586
N2383	31	57	711
N2386	31	57	711
N2389	31	57	702
N2392	31	57	603
N2395	31	57	463
N2398	4	34	332
N2402	32	33	342
N2403	4	7	370
N2404	32	23	222
N2407	8	17	246
N2410	4	15	105
N2414	4	34	37
N2418	4	34	103
N2422	4	34	181
N2426	4	34	271
N2430	4	34	373
N2434	4	34	487
N2438	4	34	613
N2442	4	34	708
N2446	4	34	708
N2450	4	34	699
N2454	4	34	600
N2458	4	34	460
N2462	35	36	470
N2463	4	7	501
N2464	35	26	310
N2467	8	37	337
N2470	18	41	213
N2474	4	7	119
N2475	10	17	113
N2476	35	36	5
N2477	4	7	36
N2478	35	26	56
N2481	35	36	71
N2482	4	7	102
N2483	35	26	134
N2486	35	36	149
N2487	4	7	180
N2488	35	26	224
N2491	35	36	239
N2492	4	7	270
N2493	35	26	326
N2496	35	36	341
N2497	4	7	372
N2498	35	26	440
N2501	35	36	455
N2502	4	7	486
N2503	35	26	566
N2506	35	36	581
N2507	4	7	612
N2508	35	26	686
N2511	35	36	718
N2512	4	7	749
N2513	35	26	686
N2516	35	36	718
N2517	4	7	749
N2518	35	26	686
N2521	35	36	718
N2522	4	7	749
N2523	35	26	677
N2526	35	36	709
N2527	4	7	740
N2528	35	26	578
N2531	35	36	610
N2532	4	7	641
N2533	35	26	438
N2536	8	40	465
N2539	27	44	301
N2543	18	27	255
N2544	24	51	249
N2545	8	15	108
N2548	8	40	0
N2549	8	40	66
N2552	8	40	144
N2555	8	40	234
N2558	8	40	336
N2561	8	40	450
N2564	8	40	576
N2567	8	40	713
N2570	8	40	713
N2573	8	40	713
N2576	8	40	704
N2579	8	40	605
N2582	27	44	429
N2586	38	36	355
N2587	27	63	366
N2588	28	43	230
N2591	4	11	105
N2595	27	44	47
N2599	27	44	125
N2603	27	44	215
N2607	27	44	317
N2611	27	44	431
N2615	27	44	557
N2619	27	44	677
N2623	27	44	677
N2627	27	44	677
N2631	27	44	668
N2635	27	44	569
N2639	41	36	483
N2640	27	63	497
N2641	37	66	327
N2644	4	31	227
N2648	12	13	237
N2649	4	7	245
N2650	12	9	100
N2653	41	36	38
N2654	27	63	52
N2655	41	36	116
N2656	27	63	130
N2657	41	36	206
N2658	27	63	220
N2659	41	36	308
N2660	27	63	322
N2661	41	36	422
N2662	27	63	436
N2663	41	36	548
N2664	27	63	562
N2665	41	36	686
N2666	27	63	700
N2667	41	36	731
N2668	27	63	745
N2669	41	36	731
N2670	27	63	745
N2671	41	36	722
N2672	27	63	736
N2673	41	36	623
N2674	27	63	637
N2675	37	69	455
N2678	4	40	324
N2682	32	33	334
N2683	4	7	362
N2684	32	23	208
N2687	8	17	232
N2690	4	15	97
N2694	37	69	10
N2697	37	69	88
N2700	37	69	178
N2703	37	69	280
N2706	37	69	394
N2709	37	69	520
N2712	37	69	658
N2715	37	69	703
N2718	37	69	703
N2721	37	69	694
N2724	37	69	595
N2727	4	40	452
N2731	41	42	462
N2732	4	7	499
N2733	41	32	296
N2736	8	37	329
N2739	18	41	199
N2743	4	7	111
N2744	10	17	105
N2745	4	40	43
N2749	4	40	121
N2753	4	40	211
N2757	4	40	313
N2761	4	40	427
N2765	4	40	553
N2769	4	40	691
N2773	4	40	700
N2777	4	40	700
N2781	4	40	691
N2785	4	40	592
N2789	41	42	602
N2790	4	7	639
N2791	41	32	424
N2794	8	46	457
N2797	33	50	287
N2801	18	27	241
N2802	24	51	235
N2803	8	15	100
N2806	41	42	5
N2807	4	7	42
N2808	41	32	62
N2811	41	42	83
N2812	4	7	120
N2813	41	32	152
N2816	41	42	173
N2817	4	7	210
N2818	41	32	254
N2821	41	42	275
N2822	4	7	312
N2823	41	32	368
N2826	41	42	389
N2827	4	7	426
N2828	41	32	494
N2831	41	42	515
N2832	4	7	552
N2833	41	32	632
N2836	41	42	653
N2837	4	7	690
N2838	41	32	672
N2841	41	42	710
N2842	4	7	747
N2843	41	32	672
N2846	41	42	710
N2847	4	7	747
N2848	41	32	672
N2851	41	42	710
N2852	4	7	747
N2853	41	32	663
N2856	41	42	701
N2857	4	7	738
N2858	41	32	564
N2861	8	46	597
N2864	33	50	415
N2868	38	42	353
N2869	33	75	358
N2870	28	43	216
N2873	4	11	97
N2877	8	46	0
N2878	8	46	78
N2881	8	46	168
N2884	8	46	270
N2887	8	46	384
N2890	8	46	510
N2893	8	46	648
N2896	8	46	705
N2899	8	46	705
N2902	8	46	705
N2905	8	46	696
N2908	33	50	555
N2912	47	42	481
N2913	33	75	495
N2914	43	72	319
N2917	4	31	213
N2921	12	13	223
N2922	4	7	231
N2923	12	9	92
N2926	33	50	53
N2930	33	50	143
N2934	33	50	245
N2938	33	50	359
N2942	33	50	485
N2946	33	50	623
N2950	33	50	663
N2954	33	50	663
N2958	33	50	663
N2962	33	50	654
N2966	47	42	621
N2967	33	75	635
N2968	43	81	447
N2971	4	46	316
N2975	32	33	326
N2976	4	7	354
N2977	32	23	194
N2980	8	17	218
N2983	4	15	89
N2987	47	42	44
N2988	33	75	58
N2989	47	42	134
N2990	33	75	148
N2991	47	42	236
N2992	33	75	250
N2993	47	42	350
N2994	33	75	364
N2995	47	42	476
N2996	33	75	490
N2997	47	42	614
N2998	33	75	628
N2999	47	42	729
N3000	33	75	743
N3001	47	42	729
N3002	33	75	743
N3003	47	42	729
N3004	33	75	743
N3005	47	42	720
N3006	33	75	734
N3007	43	81	587
N3010	4	46	444
N3014	47	48	454
N3015	4	7	497
N3016	47	38	282
N3019	8	37	321
N3022	18	41	185
N3026	4	7	103
N3027	10	17	97
N3028	43	81	10
N3031	43	81	100
N3034	43	81	202
N3037	43	81	316
N3040	43	81	442
N3043	43	81	580
N3046	43	81	695
N3049	43	81	695
N3052	43	81	695
N3055	43	81	686
N3058	4	46	584
N3062	47	48	594
N3063	4	7	637
N3064	47	38	410
N3067	8	52	449
N3070	38	56	273
N3074	18	27	227
N3075	24	51	221
N3076	8	15	92
N3079	4	46	49
N3083	4	46	139
N3087	4	46	241
N3091	4	46	355
N3095	4	46	481
N3099	4	46	619
N3103	4	46	692
N3107	4	46	692
N3111	4	46	692
N3115	4	46	683
N3119	47	48	693
N3120	4	7	736
N3121	47	38	550
N3124	8	52	589
N3127	39	56	401
N3131	38	47	350
N3132	39	86	349
N3133	28	43	202
N3136	4	11	89
N3140	47	48	5
N3141	4	7	48
N3142	47	38	68
N3145	47	48	95
N3146	4	7	138
N3147	47	38	170
N3150	47	48	197
N3151	4	7	240
N3152	47	38	284
N3155	47	48	311
N3156	4	7	354
N3157	47	38	410
N3160	47	48	437
N3161	4	7	480
N3162	47	38	548
N3165	47	48	575
N3166	4	7	618
N3167	47	38	658
N3170	47	48	702
N3171	4	7	745
N3172	47	38	658
N3175	47	48	702
N3176	4	7	745
N3177	47	38	658
N3180	47	48	702
N3181	4	7	745
N3182	47	38	658
N3185	47	48	702
N3186	4	7	745
N3187	47	38	649
N3190	8	52	688
N3193	39	56	541
N3197	53	48	479
N3198	39	87	493
N3199	48	78	310
N3202	4	31	199
N3206	12	13	209
N3207	4	7	217
N3208	12	9	84
N3211	8	52	0
N3212	8	52	90
N3215	8	52	192
N3218	8	52	306
N3221	8	52	432
N3224	8	52	570
N3227	8	52	697
N3230	8	52	697
N3233	8	52	697
N3236	8	52	697
N3239	39	56	640
N3243	53	48	619
N3244	39	87	633
N3245	49	93	439
N3248	4	51	307
N3252	32	33	317
N3253	4	7	345
N3254	32	23	180
N3257	8	17	204
N3260	4	15	81
N3264	39	56	59
N3268	39	56	161
N3272	39	56	275
N3276	39	56	401
N3280	39	56	539
N3284	39	56	649
N3288	39	56	649
N3292	39	56	649
N3296	39	56	649
N3300	53	48	718
N3301	39	87	732
N3302	49	93	579
N3305	4	52	436
N3309	52	53	446
N3310	4	7	494
N3311	52	43	268
N3314	8	37	312
N3317	18	41	171
N3321	4	7	95
N3322	10	17	89
N3323	53	48	50
N3324	39	87	64
N3325	53	48	152
N3326	39	87	166
N3327	53	48	266
N3328	39	87	280
N3329	53	48	392
N3330	39	87	406
N3331	53	48	530
N3332	39	87	544
N3333	53	48	680
N3334	39	87	694
N3335	53	48	727
N3336	39	87	741
N3337	53	48	727
N3338	39	87	741
N3339	53	48	727
N3340	39	87	741
N3341	49	93	678
N3344	4	52	576
N3348	53	54	586
N3349	4	7	635
N3350	53	44	396
N3353	8	57	441
N3356	38	61	259
N3360	18	27	213
N3361	24	51	207
N3362	8	15	84
N3365	49	93	10
N3368	49	93	112
N3371	49	93	226
N3374	49	93	352
N3377	49	93	490
N3380	49	93	640
N3383	49	93	687
N3386	49	93	687
N3389	49	93	687
N3392	4	52	675
N3396	53	54	685
N3397	4	7	734
N3398	53	44	536
N3401	8	58	581
N3404	45	62	387
N3408	38	47	341
N3409	44	91	335
N3410	28	43	188
N3413	4	11	81
N3417	4	52	55
N3421	4	52	157
N3425	4	52	271
N3429	4	52	397
N3433	4	52	535
N3437	4	52	684
N3441	4	52	684
N3445	4	52	684
N3449	4	52	684
N3453	53	54	694
N3454	4	7	743
N3455	53	44	635
N3458	8	58	680
N3461	45	62	527
N3465	58	54	477
N3466	45	99	490
N3467	48	83	296
N3470	4	31	185
N3474	12	13	195
N3475	4	7	203
N3476	12	9	76
N3479	53	54	5
N3480	4	7	54
N3481	53	44	74
N3484	53	54	107
N3485	4	7	156
N3486	53	44	188
N3489	53	54	221
N3490	4	7	270
N3491	53	44	314
N3494	53	54	347
N3495	4	7	396
N3496	53	44	452
N3499	53	54	485
N3500	4	7	534
N3501	53	44	602
N3504	53	54	635
N3505	4	7	684
N3506	53	44	644
N3509	53	54	694
N3510	4	7	743
N3511	53	44	644
N3514	53	54	694
N3515	4	7	743
N3516	53	44	644
N3519	53	54	694
N3520	4	7	743
N3521	53	44	644
N3524	8	58	689
N3527	45	62	626
N3531	59	54	617
N3532	45	99	631
N3533	55	104	431
N3536	4	51	293
N3540	32	33	303
N3541	4	7	331
N3542	32	23	166
N3545	8	17	190
N3548	4	15	73
N3552	8	58	0
N3553	8	58	102
N3556	8	58	216
N3559	8	58	342
N3562	8	58	480
N3565	8	58	630
N3568	8	58	689
N3571	8	58	689
N3574	8	58	689
N3577	45	62	635
N3581	59	54	716
N3582	45	99	730
N3583	55	105	571
N3586	4	58	428
N3590	52	53	438
N3591	4	7	486
N3592	52	43	254
N3595	8	37	298
N3598	18	41	157
N3602	4	7	87
N3603	10	17	81
N3604	45	62	65
N3608	45	62	179
N3612	45	62	305
N3616	45	62	443
N3620	45	62	593
N3624	45	62	635
N3628	45	62	635
N3632	45	62	635
N3636	59	54	725
N3637	45	99	739
N3638	55	105	670
N3641	4	58	568
N3645	59	60	578
N3646	4	7	633
N3647	59	50	382
N3650	8	57	433
N3653	38	61	245
N3657	18	27	199
N3658	24	51	193
N3659	8	15	76
N3662	59	54	56
N3663	45	99	70
N3664	59	54	170
N3665	45	99	184
N3666	59	54	296
N3667	45	99	310
N3668	59	54	434
N3669	45	99	448
N3670	59	54	584
N3671	45	99	598
N3672	59	54	725
N3673	45	99	739
N3674	59	54	725
N3675	45	99	739
N3676	59	54	725
N3677	45	99	739
N3678	55	105	679
N3681	4	58	667
N3685	59	60	677
N3686	4	7	732
N3687	59	50	522
N3690	8	64	573
N3693	51	68	373
N3697	38	47	327
N3698	44	91	321
N3699	28	43	174
N3702	4	11	73
N3706	55	105	10
N3709	55	105	124
N3712	55	105	250
N3715	55	105	388
N3718	55	105	538
N3721	55	105	679
N3724	55	105	679
N3727	55	105	679
N3730	4	58	676
N3734	59	60	686
N3735	4	7	741
N3736	59	50	621
N3739	8	64	672
N3742	51	68	513
N3746	58	60	475
N3747	51	111	482
N3748	48	83	282
N3751	4	31	171
N3755	12	13	181
N3756	4	7	189
N3757	12	9	68
N3760	4	58	61
N3764	4	58	175
