
----------------------------------------
Circuit Details:
----------------------------------------
No. of Primary Inputs: 50
No. of Primary Outputs: 12
No. of Gates: 1141
No. of Nodes: 2332
Execution Time: 15113000 ns
Primary Inputs: N350 N322 N124 N169 N274 N311 N128 N132 N143 N150 N294 N250 N125 N303 N107 N244 N222 N179 N238 N200 N190 N226 N41 N20 N1 N13 N45 N257 N264 N343 N330 N317 N329 N223 N326 N68 N137 N232 N270 N283 N97 N116 N77 N159 N33 N349 N58 N50 N87 N213
Outputs: N5361 N3833 N5360 N3987 N1713 N3195 N4028 N4145 N4589 N4667 N5002 N5231


----------------------------------------
Signal	CC0	CC1	CO
n1075	9	3	19
n1417	6	7	46
n1505	5	5	42
n1584	5	5	42
n1273	8	4	22
n1065	7	3	291
n887	9	3	36
n1547	6	2	140
n1594	3	5	159
n660	5	5	85
n711	10	3	199
n715	9	2	199
n961	6	7	200
n804	3	12	301
n817	3	12	266
n1565	10	4	199
n1326	3	12	213
n1358	3	12	190
n712	3	13	199
n764	3	13	266
n772	3	13	271
n727	11	4	195
n716	3	14	199
n730	3	14	196
n766	3	14	277
n775	3	14	271
n1568	12	5	207
n721	3	13	196
n743	3	13	291
n753	3	13	277
n762	3	13	266
n769	3	13	271
n1569	11	4	207
n1165	3	13	218
n1186	3	13	199
n741	3	11	291
n744	3	11	282
n751	3	11	277
n754	3	11	268
n768	3	11	271
n785	3	11	260
n803	9	4	199
n624	4	7	174
n939	2	10	11
n974	3	11	248
n1597	9	4	16
n1078	8	3	16
n859	5	4	71
n1421	4	8	67
n891	2	5	76
n750	4	2	164
n608	5	5	92
n1649	6	6	40
n988	11	6	28
n987	11	6	28
n1070	6	3	251
n1554	7	2	16
n825	2	6	20
n841	9	3	299
n635	3	5	76
n1562	7	3	89
n1571	7	3	82
n639	2	5	141
n650	2	5	134
n676	2	5	77
n685	2	5	74
n1035	6	7	117
n1051	6	7	94
n867	5	6	90
n613	11	3	76
n616	9	2	76
n620	12	3	76
n1038	3	6	93
n975	6	6	234
n793	3	6	272
n601	3	13	11
n1593	6	3	18
n838	15	7	38
n1083	11	6	36
n1082	12	5	37
n826	6	5	16
n839	15	7	38
n984	11	6	36
n985	11	6	36
n842	6	2	302
n637	10	4	35
n661	2	7	83
n710	3	13	199
n724	3	13	196
n763	3	13	266
n770	3	13	271
n1566	11	4	207
n714	3	12	199
n728	3	12	196
n765	3	12	277
n774	3	12	271
n1567	10	3	207
n719	7	8	199
n1144	9	2	205
n1188	9	2	206
n1328	9	2	283
n1360	9	2	269
n1201	9	2	267
n1262	9	2	302
n1302	9	2	267
n1140	6	2	205
n1172	6	2	197
n1350	6	2	261
n1195	6	2	272
n1208	6	2	263
n1239	6	2	261
n1154	4	13	212
n1181	4	13	189
n726	6	2	193
n1157	6	2	223
n1147	6	2	205
n1344	6	2	292
n1335	6	2	283
n1376	6	2	278
n1367	6	2	269
n1232	6	2	261
n1224	6	2	265
n1269	6	2	302
n1255	6	2	298
n1309	6	2	267
n1295	6	2	263
n1161	7	2	223
n1150	7	2	205
n1348	7	2	292
n1337	7	2	283
n1380	7	2	278
n1369	7	2	269
n1236	7	2	261
n1226	7	2	265
n1271	7	2	302
n1257	7	2	298
n1311	7	2	267
n1297	7	2	263
n1143	6	2	205
n1331	6	2	283
n1363	6	2	269
n1230	6	2	261
n1220	6	2	265
n1265	6	2	302
n1305	6	2	267
n1185	14	7	195
n1339	12	7	287
n1325	12	7	278
n1371	12	7	273
n1357	12	7	264
n802	6	2	298
n816	6	2	263
n1155	6	2	223
n1141	6	2	205
n1182	6	2	200
n1173	6	2	197
n1202	6	2	267
n1217	6	2	265
n1251	6	2	298
n1291	6	2	263
n622	12	4	169
n966	2	6	197
n967	3	7	201
n708	3	11	15
n1064	2	5	296
n1069	2	5	256
n1506	2	5	270
n846	4	12	247
n1079	10	4	10
n862	5	9	70
n1085	6	5	70
n1420	2	6	125
n1434	2	6	77
n1442	2	6	108
n1449	2	6	65
n1453	2	6	68
n1460	2	6	132
n1468	2	6	85
n1481	2	6	84
n893	6	6	76
n1094	7	2	74
n965	3	7	161
n1561	5	3	211
n610	2	7	90
n1648	12	6	34
n1018	6	12	40
n986	13	12	21
n1557	3	15	8
n634	2	5	98
n641	2	5	141
n651	2	5	134
n672	2	5	121
n677	2	5	77
n686	2	5	74
n1098	8	10	113
n1126	8	10	90
n1132	8	2	88
n1128	8	2	96
n1119	8	2	136
n1088	8	2	137
n612	3	14	87
n629	3	14	95
n645	3	14	135
n653	3	14	136
n662	3	14	88
n667	3	14	85
n679	3	14	79
n688	3	14	73
n615	3	12	87
n630	3	12	95
n646	3	12	135
n654	3	12	136
n663	3	12	88
n668	3	12	85
n681	3	12	79
n689	3	12	73
n618	3	15	87
n632	3	15	95
n648	3	15	135
n656	3	15	136
n665	3	15	88
n670	3	15	85
n683	3	15	79
n691	3	15	73
n1041	12	4	87
n791	7	7	233
n594	14	3	7
n1067	6	3	254
n1081	12	12	30
n824	6	9	13
n837	8	31	22
n983	13	12	29
n840	3	16	292
n923	6	2	33
n1175	14	7	192
n1204	14	7	262
n1197	14	7	267
n1158	6	2	223
n1148	6	2	205
n1341	6	2	292
n1330	6	2	283
n1373	6	2	278
n1362	6	2	269
n1233	6	2	261
n1219	6	2	265
n1264	6	2	302
n1250	6	2	298
n1304	6	2	267
n1290	6	2	263
n1184	13	7	195
n1205	13	7	273
n1198	13	7	267
n1162	5	2	223
n1151	5	2	205
n1343	5	2	292
n1334	5	2	283
n1375	5	2	278
n1366	5	2	269
n1237	5	2	261
n1223	5	2	265
n1268	5	2	302
n1254	5	2	298
n1308	5	2	267
n1294	5	2	263
n718	3	10	196
n786	3	10	260
n1164	3	10	218
n1247	3	10	284
n1287	3	10	262
n1215	7	3	260
n1194	5	7	269
n1177	7	3	192
n1142	5	7	202
n1327	10	10	275
n1359	10	10	261
n1260	7	3	297
n1300	7	3	262
n1153	16	5	209
n1139	5	7	202
n1180	16	5	186
n1171	5	7	194
n1200	5	7	264
n621	2	14	170
n745	2	14	256
n755	2	14	242
n1581	13	5	168
n1225	9	3	258
n1256	9	3	291
n1296	9	3	256
n1336	9	3	276
n1368	9	3	262
n1179	3	7	196
n1187	10	4	198
n1238	10	4	253
n1270	10	4	294
n1310	10	4	259
n1349	10	4	284
n1381	10	4	270
n1558	16	4	10
n1066	10	3	291
n1071	10	3	251
n1061	15	3	244
n1419	12	5	86
n1432	12	5	67
n1084	6	9	127
n1095	6	9	67
n1101	6	9	76
n1102	6	9	70
n1116	6	9	134
n1100	8	2	86
n1105	8	2	80
n1093	8	2	74
n1170	4	8	168
n1582	15	4	234
n1135	6	9	83
n1019	13	7	33
n1060	24	4	243
n1668	14	13	20
n1125	6	9	91
n1117	6	6	137
n1086	5	5	131
n1097	6	9	114
n1103	5	5	74
n1096	6	6	70
n1131	5	7	85
n1127	5	7	93
n1118	5	7	133
n1087	5	7	134
n899	13	7	84
n1134	13	7	83
n1130	13	7	91
n1121	13	7	131
n1091	13	7	132
n904	13	7	81
n895	13	7	75
n910	13	7	69
n1039	7	7	84
n1068	14	2	255
n1410	2	8	11
n1077	4	17	13
n1508	14	13	28
n1062	19	3	289
n798	7	3	58
n1156	5	7	220
n1146	5	7	202
n1340	10	7	284
n1329	5	7	280
n1372	10	7	270
n1361	5	7	266
n1231	5	7	258
n1218	5	7	262
n1263	5	7	299
n1249	5	7	295
n1303	5	7	264
n1289	5	7	260
n1206	15	4	265
n1160	5	6	220
n1149	5	6	202
n1342	5	6	289
n1333	5	6	280
n1374	5	6	275
n1365	5	6	266
n1235	5	6	258
n1222	5	6	262
n1267	5	6	299
n1253	5	6	295
n1307	5	6	264
n1293	5	6	260
n1228	11	7	256
n1163	11	7	214
n1246	11	7	293
n1347	4	11	283
n1286	11	7	258
n1379	4	11	269
n1214	4	11	256
n1196	8	9	265
n1176	4	11	188
n1259	4	11	293
n1299	4	11	258
n1145	8	11	196
n1183	6	20	182
n1174	8	9	190
n1203	8	9	260
n1191	8	3	165
n1178	8	7	192
n1199	8	7	267
n1189	11	5	197
n1559	3	19	7
n801	7	8	287
n815	7	7	247
n1422	3	15	124
n1461	3	15	131
n1469	3	15	84
n1482	3	15	83
n1435	3	15	76
n1443	3	15	107
n1450	3	15	64
n1454	3	15	67
n902	13	7	72
n1099	5	8	83
n1104	5	8	77
n1092	5	8	71
n1485	13	7	79
n1017	8	20	26
n789	8	16	239
n875	20	7	80
n1464	16	7	127
n883	15	6	121
n908	20	7	103
n929	15	6	64
n1452	16	7	60
n1133	8	9	81
n1129	8	9	89
n1120	8	9	129
n1090	8	9	130
n898	8	11	80
n847	6	7	251
n590	10	2	9
n1080	21	5	9
n1507	13	19	259
n1029	26	13	29
n1667	13	27	15
n1159	6	22	203
n1332	8	16	269
n1364	8	16	255
n1207	16	5	264
n1152	7	11	196
n1345	7	16	278
n1338	4	15	270
n1377	7	16	264
n1370	4	15	256
n1240	5	16	247
n1227	4	15	252
n1272	5	16	288
n1258	4	15	285
n1312	5	16	253
n1298	4	15	250
n1229	10	7	253
n1167	12	8	213
n1248	10	7	290
n1346	14	5	280
n1288	10	7	255
n1378	14	5	266
n1216	14	5	253
n777	17	9	257
n1261	14	5	290
n1301	14	5	255
n736	28	7	174
n733	17	9	182
n780	17	9	252
n734	19	5	180
n778	15	9	259
n737	13	12	189
n882	7	6	121
n1462	7	6	128
n874	7	6	81
n1483	7	6	80
n901	7	6	73
n907	7	6	104
n1451	7	6	61
n928	7	6	64
n905	9	9	79
n896	9	9	73
n911	9	9	67
n1063	22	2	290
n1031	34	9	25
n1669	14	23	11
n787	4	11	236
n1480	17	9	73
n1470	17	9	81
n1463	17	9	121
n1423	17	9	122
n897	19	9	72
n814	8	11	246
n602	10	11	4
n1509	6	16	256
n1028	14	28	14
n781	8	7	261
n1595	23	8	184
n1354	32	5	253
n1385	32	5	239
n1234	8	16	247
n1166	7	18	207
n1252	8	16	284
n1351	5	25	269
n1292	8	16	249
n1382	5	25	255
n1221	6	20	247
n1266	6	20	284
n1306	6	20	249
n732	6	37	162
n776	10	33	241
n735	8	42	160
n881	13	8	114
n1136	14	8	120
n873	14	8	73
n1484	14	8	72
n900	14	8	65
n906	14	8	96
n1106	14	8	53
n919	13	8	57
n903	17	10	71
n894	17	10	65
n909	17	10	59
n845	6	20	286
n1030	15	24	10
n790	8	12	228
n1564	18	10	73
n1618	11	2	71
n1621	12	3	81
n1473	3	20	120
n1475	2	19	79
n1472	18	10	81
n1570	18	10	121
n1609	11	2	119
n1612	12	3	121
n1426	3	20	121
n1428	2	19	120
n1425	18	10	122
n1437	3	22	102
n1439	2	21	71
n1111	20	10	73
n813	8	16	238
N3195	12	14	0
n1585	21	4	251
N3987	42	15	0
n779	8	26	243
n1627	11	3	181
n1242	33	6	230
n1596	41	7	184
n1282	32	5	268
n1353	42	6	252
n1316	32	5	233
n1384	42	6	238
n1243	36	5	231
n1281	37	6	267
n1315	37	6	232
n1190	38	15	153
n1431	14	9	115
n1122	15	9	121
n1478	15	9	114
n1486	13	11	208
n1563	15	9	81
n1511	15	9	96
n1490	12	8	304
n1572	15	9	107
n1493	12	8	74
n1193	15	9	52
n1492	14	9	87
n1046	20	18	61
n1445	3	20	113
n1447	2	19	102
n1114	18	11	74
n1456	3	20	93
n1458	2	19	63
n1112	18	11	65
n1047	21	18	60
n1113	18	11	59
n1599	12	2	57
n1602	13	3	92
n800	13	11	281
N3833	34	16	0
n1619	12	2	71
n1620	13	3	81
n1471	3	21	120
n1476	2	20	79
n1610	12	2	119
n1611	13	3	121
n1424	3	21	121
n1429	2	20	120
n1436	3	23	102
n1440	2	22	71
n818	8	16	230
n1210	11	7	244
n1209	27	19	232
n1628	9	2	182
n1352	12	33	246
n1383	12	33	232
n1241	12	34	224
n1280	12	33	261
n1314	12	33	226
n739	19	9	149
n1430	3	21	276
n944	4	23	163
n1465	3	22	222
n1477	4	25	203
n1510	3	22	272
n977	4	23	44
n1491	3	21	91
n1444	3	21	113
n1448	2	20	102
n1043	22	19	63
n1455	3	21	93
n1459	2	20	63
n1045	19	42	39
n1044	23	19	62
n1600	13	2	57
n1601	14	3	92
n799	9	21	273
n1574	5	12	68
n1622	7	13	77
n1474	21	7	116
n943	20	5	76
n945	5	12	116
n1613	7	13	117
n1427	21	7	117
n880	20	5	117
n1438	23	7	98
n1441	22	5	68
n783	27	12	224
n1629	6	10	178
n1355	15	15	243
n1386	15	15	229
n1244	13	21	215
n1317	17	21	217
n1446	21	7	109
n920	20	5	99
n1457	21	7	89
n918	20	5	60
n1604	45	3	36
n1042	20	46	39
n978	5	13	54
n1603	7	14	88
n806	8	17	265
n927	21	6	59
n1054	23	8	67
n877	17	16	106
n638	14	15	67
n693	36	5	150
n699	21	6	107
n1049	23	8	107
n885	17	15	107
n706	14	14	108
n915	17	16	88
n914	14	15	59
n1056	13	3	175
n913	17	16	99
n675	14	15	90
n931	17	15	79
n580	14	14	51
n1605	48	2	37
n796	37	5	30
n582	22	6	80
n1033	24	8	78
n1283	18	21	252
n703	15	22	60
n636	5	25	143
n698	32	15	90
n701	15	16	66
n1048	15	22	100
n884	30	15	92
n942	4	22	222
n674	32	15	72
n1110	15	16	58
n625	6	4	172
n797	4	22	279
n912	32	15	83
n930	30	15	64
n968	4	22	43
n1606	6	46	33
n1032	15	23	71
n1002	12	29	207
n1623	34	14	185
n697	7	54	74
n878	16	48	74
n997	16	37	212
n1616	41	5	187
n879	16	23	99
n992	16	34	281
n1598	37	4	260
n673	16	47	57
n917	33	16	99
n1643	16	36	239
n1015	38	4	271
n623	5	11	167
n1107	33	16	106
n1632	16	34	60
n1008	37	4	90
n1608	50	7	29
n916	16	48	67
n1633	9	28	58
n1010	32	13	73
n1001	35	15	184
n700	17	23	58
n996	42	6	186
n705	72	17	50
n1614	46	4	198
n989	23	20	221
n991	38	5	259
n1109	17	32	41
n1016	17	37	238
n1168	12	8	164
n583	33	34	89
n1007	25	13	303
n1631	9	46	270
n1009	17	35	59
n579	65	17	50
n1011	10	29	57
n627	16	48	171
n702	23	33	42
n571	7	59	169
n704	15	87	50
n924	16	103	19
n990	47	5	197
n936	6	55	242
n794	42	18	233
n581	7	56	66
n1006	10	47	269
n820	40	18	54
n578	15	80	58
n1414	16	96	19
n576	43	11	43
n626	5	20	167
n692	6	44	142
n1192	63	3	165
n1138	8	60	404
n926	34	39	26
n599	17	104	18
n695	6	71	173
n757	7	56	243
n792	7	46	229
n1005	61	11	255
n819	7	44	231
n821	2	42	236
n969	20	2	52
n1108	57	23	50
n1607	99	7	29
n600	17	97	18
n808	44	12	42
n1169	9	10	162
n950	26	12	136
n740	11	4	157
n925	46	22	19
n746	5	10	253
n574	94	5	150
n756	5	11	239
n947	128	7	336
n1245	9	12	224
n577	34	5	321
n759	62	12	254
n1318	9	12	226
n971	21	3	51
n922	56	18	17
n933	15	51	21
N4028	98	35	0
n807	7	48	266
n973	35	5	30
troj99_0n4	16	3	370
n560	19	10	153
n738	5	31	137
n597	47	23	18
n1356	9	10	248
tempn573	6	102	142
n1387	9	10	234
n587	34	10	202
n575	6	78	277
n795	6	100	277
n1211	18	3	248
n591	34	10	204
n596	16	22	38
n1285	4	24	214
n1494	4	26	263
n921	21	7	14
n598	122	17	24
n932	53	2	19
n948	112	9	352
n1548	155	16	149
n1284	9	12	261
n972	11	36	24
n559	26	10	232
n568	26	10	218
n1213	23	11	272
n784	11	4	240
n758	13	79	270
n1636	34	17	285
n1635	17	23	297
n592	29	5	209
n1638	39	5	250
n1013	13	49	276
n941	8	28	220
n935	8	39	172
N4145	41	48	0
n696	3	60	319
n970	10	22	11
n1575	3	71	221
n946	8	241	223
n567	34	10	239
n595	12	37	23
n1059	49	12	229
n782	5	39	212
n1212	79	20	263
n1634	36	18	284
N4815	16	30	198
n1014	40	6	249
n572	100	7	148
n1115	23	13	341
n934	23	55	125
n694	132	4	247
n1536	23	18	242
n810	11	23	10
n938	4	72	220
n1573	243	2	221
n1658	258	9	295
n1659	17	164	140
N4589	60	13	0
n1512	32	24	251
n1637	36	35	266
n1407	17	31	197
n1012	7	54	235
n570	8	108	140
n1123	13	95	238
n1467	24	14	340
n1124	10	37	241
n809	12	15	244
n1523	34	3	254
n1537	24	18	241
n1560	2	13	8
n937	128	5	164
n1488	244	3	220
n1660	18	165	139
n1513	19	75	256
n1514	43	33	232
n1058	73	13	228
troj99_0n3	76	8	310
n1496	8	55	280
n1466	15	28	336
n1479	38	24	227
n811	3	17	239
n1538	19	48	217
n593	14	6	4
n748	129	6	234
n1550	175	19	129
n1516	44	34	231
n1057	26	50	215
n1495	79	9	272
n1524	4	43	245
n1615	100	7	264
n994	29	22	335
n1617	84	8	167
n999	25	46	226
n1525	18	11	231
n569	53	16	212
N4667	10	15	0
n747	7	133	244
n1532	17	3	249
n1549	21	2	127
n1515	35	64	211
n565	53	5	212
n1588	106	9	280
n1497	10	106	271
n1498	60	27	221
n995	101	8	263
n1000	85	9	166
n566	12	23	226
N4944	27	27	201
n749	3	12	239
n1589	33	12	284
troj99_0n5	4	117	269
n1499	61	28	220
n993	9	131	233
n998	10	111	140
N5047	34	13	215
n1404	28	28	200
n1590	23	3	273
troj99_0n1	127	5	259
n761	29	72	209
n1489	6	138	154
n1535	13	13	229
n1534	10	132	256
n563	114	5	137
n1405	35	14	214
n1323	45	18	252
n1591	7	6	269
n760	12	33	205
n1004	250	7	153
n1630	112	17	143
n1533	4	28	238
n1576	244	11	229
n1403	43	29	185
n1324	45	17	253
n588	71	8	204
n564	34	18	199
n1003	113	18	142
n558	14	18	224
n1577	18	130	222
n1322	36	46	234
N5045	19	35	193
N5078	24	35	193
n709	26	114	134
N5121	29	15	213
n1578	141	3	211
n1653	37	47	233
n1408	20	36	192
n1401	25	36	192
n707	12	30	130
n1399	30	16	212
n1024	44	29	264
n1579	7	6	207
n1406	68	18	160
n1320	72	21	228
n1321	72	20	229
n562	31	18	124
n1025	44	28	265
troj99_0n2	22	6	364
n585	19	112	116
n1319	42	73	207
N5102	24	32	118
n1023	58	45	235
Trigger_en99_0	4	242	144
n1652	121	38	159
n1021	48	80	232
n1402	25	33	117
n1655	59	46	235
n573	11	107	137
n1022	122	39	158
n1400	70	26	158
n1543	5	28	114
n951	108	20	128
n1020	40	171	109
n949	33	27	115
n1654	41	172	109
n1395	217	41	63
n1487	4	278	186
n1661	28	57	91
n1412	83	24	124
n1396	219	42	62
n1624	327	5	185
n1625	49	21	169
n1413	29	58	90
n1394	84	218	20
n1626	50	22	168
n1411	83	30	65
n1542	85	219	101
n1580	28	51	162
n1662	3	105	43
n1663	33	22	126
n561	58	8	155
n1664	4	106	42
N5120	19	20	144
n1552	129	5	19
n1398	20	21	197
n1546	26	4	138
n1389	54	20	165
n1551	8	5	16
n1397	38	21	190
n823	55	21	228
n1390	54	21	164
n1545	7	7	135
n1556	4	17	7
n586	22	109	119
n822	2	57	226
n1388	42	55	143
n1656	36	6	106
n1392	8	13	134
n589	16	8	3
N5192	222	20	6
n1541	56	128	58
n1540	43	56	142
n1393	37	7	105
N5002	11	11	0
n1409	223	21	5
n1539	57	128	57
n1391	8	46	96
n584	22	226	2
N5361	129	114	0
n1657	47	93	11
n1026	265	9	95
N5231	228	2	0
n1027	48	94	10
N5360	104	49	0
